2018-06-20 19:44:43 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:45 ERROR (SyncWorker_11) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:47 ERROR (SyncWorker_10) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:48 ERROR (SyncWorker_12) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:44:49 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:51 ERROR (SyncWorker_2) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:53 ERROR (SyncWorker_16) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:54 ERROR (SyncWorker_6) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:44:55 ERROR (SyncWorker_10) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:57 ERROR (SyncWorker_12) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:44:59 ERROR (SyncWorker_8) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:00 ERROR (SyncWorker_15) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:01 ERROR (SyncWorker_16) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:03 ERROR (SyncWorker_0) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:05 ERROR (SyncWorker_18) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:06 ERROR (SyncWorker_5) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:07 ERROR (SyncWorker_12) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:09 ERROR (SyncWorker_8) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:11 ERROR (SyncWorker_1) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:12 ERROR (SyncWorker_15) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:13 ERROR (SyncWorker_0) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:15 ERROR (SyncWorker_18) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:17 ERROR (SyncWorker_9) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:18 ERROR (SyncWorker_4) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:19 ERROR (SyncWorker_12) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:21 ERROR (SyncWorker_8) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:23 ERROR (SyncWorker_1) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:24 ERROR (SyncWorker_13) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:25 ERROR (SyncWorker_0) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:27 ERROR (SyncWorker_18) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:29 ERROR (SyncWorker_9) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:30 ERROR (SyncWorker_6) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:31 ERROR (SyncWorker_12) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:33 ERROR (SyncWorker_8) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:35 ERROR (SyncWorker_1) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:36 ERROR (SyncWorker_13) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:37 ERROR (SyncWorker_0) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:39 ERROR (SyncWorker_9) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:41 ERROR (SyncWorker_17) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:42 ERROR (SyncWorker_4) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:43 ERROR (SyncWorker_8) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:45 ERROR (SyncWorker_1) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:47 ERROR (SyncWorker_13) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:48 ERROR (SyncWorker_2) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:49 ERROR (SyncWorker_18) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:51 ERROR (SyncWorker_9) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:53 ERROR (SyncWorker_17) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:54 ERROR (SyncWorker_4) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:45:54 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:55 ERROR (SyncWorker_14) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:57 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:45:59 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:00 ERROR (SyncWorker_17) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:46:01 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:03 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:05 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:06 ERROR (SyncWorker_12) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:46:07 ERROR (SyncWorker_14) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:09 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
